Date,Open,High,Low,Close,Adj Close,Volume
2020-11-09,77.750000,90.529999,73.519997,89.389999,89.389999,85163900
2020-11-16,100.309998,103.199997,88.610001,97.610001,97.610001,150156900
2020-11-23,100.769997,130.059998,93.540001,127.029999,127.029999,98164100
2020-11-30,144.000000,178.500000,128.100006,152.520004,152.520004,315912100
2020-12-07,155.029999,170.800003,147.199997,156.929993,156.929993,144230100
2020-12-14,163.399994,163.761002,134.309998,140.229996,140.229996,152957600
2020-12-21,140.839996,147.259995,115.000000,123.389999,123.389999,114582400
2020-12-28,120.040001,122.879997,102.660004,104.470001,104.470001,102142400
2021-01-04,107.230003,122.820000,103.260002,112.750000,112.750000,92472300
2021-01-11,112.750000,133.289993,112.620003,129.649994,129.649994,75367600
2021-01-18,122.099998,137.000000,120.500000,131.020004,131.020004,55478500
2021-01-25,138.399994,185.979996,137.250000,173.160004,173.160004,120383200
2021-02-01,173.029999,177.500000,147.100006,176.240005,176.240005,67944600
2021-02-08,177.000000,189.259995,176.199997,183.740005,183.740005,39567600
2021-02-15,182.410004,184.179993,168.000000,174.740005,174.740005,25009800
2021-02-22,167.800003,170.350006,136.000000,154.809998,154.809998,65036400
2021-03-01,154.462997,157.779999,121.120003,132.190002,132.190002,60634800
2021-03-08,129.149994,140.850006,122.480003,136.990005,136.990005,33292600
2021-03-15,136.770004,157.750000,135.009995,143.740005,143.740005,51277500
2021-03-22,144.190002,147.919998,126.419998,133.279999,133.279999,28619900
2021-03-29,130.110001,136.636993,117.341003,132.550003,132.550003,39161800
2021-04-05,132.600006,144.000000,127.040001,140.919998,140.919998,31484700
2021-04-12,142.369995,171.919998,136.360001,170.809998,170.809998,64564300
2021-04-19,166.610001,179.000000,153.270004,173.630005,173.630005,53227100
2021-04-26,171.789993,186.800003,168.880005,178.820007,178.820007,51360700
2021-05-03,183.899994,189.000000,143.559998,163.149994,163.149994,92084300
2021-05-10,164.009995,164.759995,146.850006,161.380005,161.380005,34895800
2021-05-17,159.000000,169.279999,154.509995,161.449997,161.449997,22982100
2021-05-24,162.880997,186.639999,161.009995,185.009995,185.009995,38558500
2021-05-31,184.080002,207.380005,178.800003,206.070007,206.070007,36526900
2021-06-07,207.102997,227.710007,202.500000,218.850006,218.850006,56247600
2021-06-14,213.272995,213.490005,193.201996,199.190002,199.190002,37413700
2021-06-21,200.860001,226.509995,200.000000,219.940002,219.940002,53535300
2021-06-28,223.000000,245.699997,215.600006,234.300003,234.300003,37052000
2021-07-05,229.619995,234.600006,214.070007,232.809998,232.809998,23870300
2021-07-12,230.979996,288.880005,229.199997,286.429993,286.429993,77073100
2021-07-19,284.540009,349.450012,283.140015,348.829987,348.829987,229424300
2021-07-26,352.000000,362.000000,318.290009,353.600006,353.600006,75108000
2021-08-02,360.000000,443.989990,343.200012,413.720001,413.720001,110839700
2021-08-09,411.300995,497.489990,372.000000,389.779999,389.779999,183467500
2021-08-16,379.269989,413.299988,349.000000,382.980011,382.980011,95872800
2021-08-23,390.339996,413.799988,378.720001,382.220001,382.220001,66251400
2021-08-30,369.000000,416.809998,362.799988,416.700012,416.700012,60807800
2021-09-06,409.500000,464.850006,408.959991,449.380005,449.380005,62246000
2021-09-13,448.000000,448.809998,415.000000,427.709991,427.709991,30401200
